# kel, ohms, sens. ohms/kel, sens unitless
65,1.05E+02,-9.35E-01,-5.78E-01
70,1.01E+02,-8.39E-01,-5.83E-01
75,9.68E+01,-7.58E-01,-5.87E-01
77.35,9.51E+01,-7.25E-01,-5.90E-01
80,9.32E+01,-6.90E-01,-5.92E-01
85,8.99E+01,-6.32E-01,-5.97E-01
90,8.69E+01,-5.81E-01,-6.02E-01
95,8.41E+01,-5.37E-01,-6.06E-01
100,8.15E+01,-4.98E-01,-6.12E-01
105,7.91E+01,-4.64E-01,-6.16E-01
110,7.68E+01,-4.34E-01,-6.21E-01
115,7.47E+01,-4.07E-01,-6.26E-01
120,7.28E+01,-3.82E-01,-6.30E-01
125,7.09E+01,-3.60E-01,-6.34E-01
130,6.92E+01,-3.40E-01,-6.39E-01
135,6.75E+01,-3.21E-01,-6.42E-01
140,6.60E+01,-3.04E-01,-6.46E-01
145,6.45E+01,-2.89E-01,-6.50E-01
150,6.31E+01,-2.75E-01,-6.53E-01
155,6.17E+01,-2.61E-01,-6.56E-01
160,6.05E+01,-2.49E-01,-6.59E-01
165,5.92E+01,-2.38E-01,-6.62E-01
170,5.81E+01,-2.27E-01,-6.64E-01
175,5.70E+01,-2.17E-01,-6.67E-01
180,5.59E+01,-2.08E-01,-6.69E-01
185,5.49E+01,-1.99E-01,-6.70E-01
190,5.39E+01,-1.91E-01,-6.72E-01
195,5.30E+01,-1.83E-01,-6.73E-01
200,5.21E+01,-1.76E-01,-6.74E-01
205,5.12E+01,-1.69E-01,-6.75E-01
210,5.04E+01,-1.62E-01,-6.76E-01
215,4.96E+01,-1.56E-01,-6.77E-01
220,4.88E+01,-1.50E-01,-6.77E-01
225,4.81E+01,-1.45E-01,-6.77E-01
230,4.74E+01,-1.40E-01,-6.77E-01
235,4.67E+01,-1.35E-01,-6.77E-01
240,4.60E+01,-1.30E-01,-6.77E-01
245,4.54E+01,-1.25E-01,-6.76E-01
250,4.48E+01,-1.21E-01,-6.75E-01
255,4.42E+01,-1.17E-01,-6.75E-01
260,4.36E+01,-1.13E-01,-6.74E-01
265,4.31E+01,-1.09E-01,-6.73E-01
270,4.25E+01,-1.06E-01,-6.72E-01
273.15,4.22E+01,-1.04E-01,-6.71E-01
275,4.20E+01,-1.02E-01,-6.70E-01
280,4.15E+01,-9.92E-02,-6.69E-01
285,4.10E+01,-9.61E-02,-6.68E-01
290,4.05E+01,-9.31E-02,-6.66E-01
295,4.01E+01,-9.03E-02,-6.65E-01
300,3.96E+01,-8.76E-02,-6.63E-01
305,3.92E+01,-8.50E-02,-6.61E-01
310,3.88E+01,-8.25E-02,-6.60E-01
315,3.84E+01,-8.01E-02,-6.58E-01
320,3.80E+01,-7.79E-02,-6.56E-01
325,3.76E+01,-7.57E-02,-6.54E-01
