# kel, ohms, sens. ohms/kel, sens unitless
77.35,9.29E+01,-7.05E-01,-5.87E-01
80,9.11E+01,-6.71E-01,-5.89E-01
85,8.79E+01,-6.14E-01,-5.94E-01
90,8.50E+01,-5.65E-01,-5.99E-01
95,8.22E+01,-5.23E-01,-6.04E-01
100,7.97E+01,-4.85E-01,-6.08E-01
105,7.74E+01,-4.52E-01,-6.13E-01
110,7.52E+01,-4.23E-01,-6.18E-01
115,7.32E+01,-3.96E-01,-6.23E-01
120,7.12E+01,-3.72E-01,-6.27E-01
125,6.94E+01,-3.51E-01,-6.31E-01
130,6.77E+01,-3.31E-01,-6.35E-01
135,6.61E+01,-3.13E-01,-6.39E-01
140,6.46E+01,-2.97E-01,-6.43E-01
145,6.31E+01,-2.81E-01,-6.46E-01
150,6.18E+01,-2.68E-01,-6.50E-01
155,6.05E+01,-2.55E-01,-6.53E-01
160,5.92E+01,-2.43E-01,-6.56E-01
165,5.80E+01,-2.32E-01,-6.58E-01
170,5.69E+01,-2.21E-01,-6.61E-01
175,5.58E+01,-2.11E-01,-6.63E-01
180,5.48E+01,-2.02E-01,-6.65E-01
185,5.38E+01,-1.94E-01,-6.66E-01
190,5.29E+01,-1.86E-01,-6.68E-01
195,5.19E+01,-1.78E-01,-6.69E-01
200,5.11E+01,-1.71E-01,-6.70E-01
205,5.02E+01,-1.64E-01,-6.71E-01
210,4.94E+01,-1.58E-01,-6.72E-01
215,4.87E+01,-1.52E-01,-6.72E-01
220,4.79E+01,-1.46E-01,-6.72E-01
225,4.72E+01,-1.41E-01,-6.72E-01
230,4.65E+01,-1.36E-01,-6.72E-01
235,4.58E+01,-1.31E-01,-6.72E-01
240,4.52E+01,-1.26E-01,-6.71E-01
245,4.46E+01,-1.22E-01,-6.71E-01
250,4.40E+01,-1.18E-01,-6.70E-01
255,4.34E+01,-1.14E-01,-6.69E-01
260,4.28E+01,-1.10E-01,-6.69E-01
265,4.23E+01,-1.07E-01,-6.68E-01
270,4.18E+01,-1.03E-01,-6.66E-01
273.15,4.14E+01,-1.01E-01,-6.66E-01
275,4.13E+01,-9.98E-02,-6.65E-01
280,4.08E+01,-9.67E-02,-6.64E-01
285,4.03E+01,-9.36E-02,-6.63E-01
290,3.98E+01,-9.08E-02,-6.61E-01
295,3.94E+01,-8.80E-02,-6.59E-01
300,3.89E+01,-8.54E-02,-6.58E-01
305,3.85E+01,-8.28E-02,-6.56E-01
310,3.81E+01,-8.04E-02,-6.54E-01
315,3.77E+01,-7.80E-02,-6.52E-01
320,3.73E+01,-7.58E-02,-6.50E-01
325,3.70E+01,-7.36E-02,-6.47E-01
