# kel, ohms, sens. ohms/kel, sens unitless
0.3,1.96E+04,-1.97E+05,-3.02E+00
0.32,1.62E+04,-1.42E+05,-2.81E+00
0.34,1.37E+04,-1.08E+05,-2.68E+00
0.36,1.18E+04,-8.48E+04,-2.58E+00
0.38,1.03E+04,-6.77E+04,-2.50E+00
0.4,9.09E+03,-5.48E+04,-2.41E+00
0.42,8.09E+03,-4.49E+04,-2.33E+00
0.44,7.28E+03,-3.72E+04,-2.25E+00
0.46,6.59E+03,-3.12E+04,-2.18E+00
0.48,6.02E+03,-2.64E+04,-2.11E+00
0.5,5.53E+03,-2.26E+04,-2.04E+00
0.55,4.58E+03,-1.59E+04,-1.91E+00
0.6,3.90E+03,-1.17E+04,-1.80E+00
0.65,3.39E+03,-8.89E+03,-1.70E+00
0.7,3.00E+03,-6.97E+03,-1.63E+00
0.75,2.69E+03,-5.58E+03,-1.56E+00
0.8,2.43E+03,-4.56E+03,-1.50E+00
0.85,2.23E+03,-3.79E+03,-1.45E+00
0.9,2.05E+03,-3.19E+03,-1.40E+00
0.95,1.90E+03,-2.72E+03,-1.36E+00
1,1.78E+03,-2.35E+03,-1.32E+00
1.05,1.67E+03,-2.04E+03,-1.28E+00
1.1,1.57E+03,-1.79E+03,-1.25E+00
1.15,1.49E+03,-1.58E+03,-1.22E+00
1.2,1.41E+03,-1.41E+03,-1.19E+00
1.3,1.29E+03,-1.13E+03,-1.14E+00
1.4,1.18E+03,-9.32E+02,-1.10E+00
1.5,1.10E+03,-7.79E+02,-1.06E+00
1.6,1.03E+03,-6.61E+02,-1.03E+00
1.7,9.67E+02,-5.68E+02,-9.98E-01
1.8,9.14E+02,-4.93E+02,-9.71E-01
1.9,8.68E+02,-4.32E+02,-9.46E-01
2,8.27E+02,-3.82E+02,-9.23E-01
2.1,7.91E+02,-3.40E+02,-9.02E-01
2.2,7.59E+02,-3.05E+02,-8.83E-01
2.3,7.30E+02,-2.75E+02,-8.65E-01
2.4,7.04E+02,-2.49E+02,-8.49E-01
2.5,6.80E+02,-2.27E+02,-8.34E-01
2.6,6.58E+02,-2.08E+02,-8.21E-01
2.7,6.38E+02,-1.91E+02,-8.08E-01
2.8,6.20E+02,-1.76E+02,-7.93E-01
2.9,6.03E+02,-1.62E+02,-7.81E-01
3,5.87E+02,-1.52E+02,-7.74E-01
3.1,5.73E+02,-1.42E+02,-7.68E-01
3.2,5.59E+02,-1.32E+02,-7.58E-01
3.3,5.46E+02,-1.24E+02,-7.46E-01
3.4,5.34E+02,-1.16E+02,-7.36E-01
3.5,5.23E+02,-1.09E+02,-7.28E-01
3.6,5.13E+02,-1.02E+02,-7.19E-01
3.7,5.03E+02,-9.65E+01,-7.11E-01
3.8,4.93E+02,-9.13E+01,-7.03E-01
3.9,4.84E+02,-8.65E+01,-6.96E-01
4,4.76E+02,-8.20E+01,-6.89E-01
4.2,4.60E+02,-7.42E+01,-6.77E-01
4.4,4.46E+02,-6.76E+01,-6.66E-01
4.6,4.33E+02,-6.18E+01,-6.56E-01
4.8,4.21E+02,-5.68E+01,-6.47E-01
5,4.10E+02,-5.24E+01,-6.38E-01
5.2,4.00E+02,-4.85E+01,-6.30E-01
5.4,3.91E+02,-4.51E+01,-6.23E-01
5.6,3.82E+02,-4.21E+01,-6.16E-01
5.8,3.74E+02,-3.93E+01,-6.09E-01
6,3.67E+02,-3.68E+01,-6.03E-01
6.5,3.50E+02,-3.17E+01,-5.89E-01
7,3.35E+02,-2.76E+01,-5.76E-01
7.5,3.22E+02,-2.43E+01,-5.65E-01
8,3.10E+02,-2.16E+01,-5.56E-01
8.5,3.00E+02,-1.93E+01,-5.48E-01
9,2.91E+02,-1.75E+01,-5.40E-01
9.5,2.83E+02,-1.59E+01,-5.34E-01
10,2.75E+02,-1.45E+01,-5.29E-01
10.5,2.68E+02,-1.34E+01,-5.24E-01
11,2.62E+02,-1.24E+01,-5.20E-01
11.5,2.56E+02,-1.15E+01,-5.16E-01
12,2.50E+02,-1.07E+01,-5.13E-01
12.5,2.45E+02,-1.00E+01,-5.11E-01
13,2.40E+02,-9.39E+00,-5.08E-01
13.5,2.36E+02,-8.84E+00,-5.07E-01
14,2.31E+02,-8.34E+00,-5.05E-01
14.5,2.27E+02,-7.89E+00,-5.04E-01
15,2.23E+02,-7.49E+00,-5.03E-01
15.5,2.20E+02,-7.11E+00,-5.02E-01
16,2.16E+02,-6.77E+00,-5.01E-01
16.5,2.13E+02,-6.46E+00,-5.01E-01
17,2.10E+02,-6.18E+00,-5.01E-01
17.5,2.07E+02,-5.91E+00,-5.00E-01
18,2.04E+02,-5.67E+00,-5.00E-01
18.5,2.01E+02,-5.44E+00,-5.01E-01
19,1.98E+02,-5.23E+00,-5.01E-01
19.5,1.96E+02,-5.04E+00,-5.02E-01
20,1.93E+02,-4.86E+00,-5.02E-01
21,1.89E+02,-4.52E+00,-5.02E-01
22,1.84E+02,-4.23E+00,-5.04E-01
23,1.80E+02,-3.97E+00,-5.06E-01
24,1.76E+02,-3.74E+00,-5.08E-01
25,1.73E+02,-3.53E+00,-5.11E-01
26,1.69E+02,-3.34E+00,-5.13E-01
27,1.66E+02,-3.17E+00,-5.15E-01
28,1.63E+02,-3.01E+00,-5.18E-01
29,1.60E+02,-2.87E+00,-5.20E-01
30,1.57E+02,-2.74E+00,-5.23E-01
31,1.55E+02,-2.62E+00,-5.25E-01
32,1.52E+02,-2.50E+00,-5.27E-01
33,1.50E+02,-2.40E+00,-5.29E-01
34,1.47E+02,-2.30E+00,-5.32E-01
35,1.45E+02,-2.21E+00,-5.34E-01
36,1.43E+02,-2.12E+00,-5.36E-01
37,1.41E+02,-2.04E+00,-5.38E-01
38,1.39E+02,-1.97E+00,-5.40E-01
39,1.37E+02,-1.90E+00,-5.41E-01
40,1.35E+02,-1.83E+00,-5.43E-01
42,1.31E+02,-1.71E+00,-5.46E-01
44,1.28E+02,-1.60E+00,-5.50E-01
46,1.25E+02,-1.50E+00,-5.53E-01
48,1.22E+02,-1.41E+00,-5.55E-01
50,1.19E+02,-1.33E+00,-5.58E-01
52,1.17E+02,-1.26E+00,-5.61E-01
54,1.14E+02,-1.19E+00,-5.63E-01
56,1.12E+02,-1.13E+00,-5.65E-01
58,1.10E+02,-1.07E+00,-5.68E-01
60,1.08E+02,-1.02E+00,-5.70E-01
65,1.03E+02,-9.09E-01,-5.75E-01
70,9.85E+01,-8.16E-01,-5.80E-01
75,9.46E+01,-7.38E-01,-5.85E-01
